答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,状态,证件号,用户名,姓名,用户类别,单位,邮件,Q1_您认为上述视频内容和思想政治课课堂教学的语言风格是否相近？_请打分,Q2_您认为上述视频内容和新闻联播的语言风格是否相近？_请打分,Q3_您认为上述视频内容和职业教育是否有联系？_请打分,Q4_您认为上述视频的内容语言风格跟下列哪种情境的内容或风格更相似？,Q5_全面从严治党的关键是:,Q6_新发展理念包括创新、协调、绿色、开放和:,Q7_民主法制建设的成就包括推进全面依法治国、党的领导、 有机统一。,Q8_党的十八届三中全会是在哪一年召开的？,Q9_中央外事工作会议明确提出外交大权在：,Q10_你喜欢类似视频中的思想政治课么？,Q11_你对下列哪些主体的工作满意，你不必说具体哪个，请告诉我您满意的主体数量（0-3）即可：钟南山院士官方媒体自媒体,Q12_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-3）即可：南方周末环球时报钟南山院士,Q13_你认为国家下列这些方面的能力强么？_统计民众和社会信息的能力,Q13_你认为国家下列这些方面的能力强么？_维护社会稳定的能力,Q13_你认为国家下列这些方面的能力强么？_维护社会团结，增加民众国家认同的能力,Q13_你认为国家下列这些方面的能力强么？_向社会获取资源（包括税收等）的能力,Q13_你认为国家下列这些方面的能力强么？_领导不同中央各部委和地方政府的能力,Q13_你认为国家下列这些方面的能力强么？_管理社会组织和市场主体的能力,Q13_你认为国家下列这些方面的能力强么？_提供社会福利的能力,Q14_请问你对上述视频有什么看法：,Q15_请问你对你平时上的思想政治课有什么看法：,Q16_你所在学校组织网课的最常见形式是什么？,Q16_你所在学校组织网课的最常见形式是什么？_开放选项,Q17_本学期，你平均每周在线上课（学校规定的课程）的时间为________小时。,Q18_本学期，你平均每周在线学习（不包括学校规定的课程）的时间为________小时。,Q19_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够提高我的学习效率,Q19_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够解决我大部分的学习问题,Q19_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能够让我更好地掌握知识与技能,Q19_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能让我的学习注意力更加集中,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线学习平台的师生交流功能使用起来很方便,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，通过在线学习平台获取知识与提升技能很轻松,Q19_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线完成作业是一件容易的事,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习方面的培训或指导,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习资源（如网课资源、电子讲义等）,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校为我们配备的硬件设施（如光纤网络、机房、虚拟仿真设备等）能满足我的在线学习需要,Q19_本学期以来，你是否同意以下关于在线学习的描述_学校会营造良好氛围来促进信息技术融入我们的学习,Q19_本学期以来，你是否同意以下关于在线学习的描述_我愿意向我的亲朋好友推荐在线学习形式,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意继续采纳在线学习的方式进行学习,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意提高使用在线学习平台学习的频率,Q19_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我希望在线学习的形式能扩展到更多课程的学习中,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_在线学习的整体体验感让我满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己的学习效率感到满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所获得的学习效果感到满意,Q20_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所取得的整体收获感到满意,Q21_你上思想政治课的班级规模：,Q22_你对中央政府的工作有多满意？,Q23_你相信国务院新闻发布会发布的信息么？,Q24_你相信纽约时报发布的信息么？,Q25_你对老师在线授课的适应程度如何？,Q26_你对自己在线自主学习的适应程度如何？,Q27_你对学校组织的在线学习，有什么建议？
518,139.215.12.177,,,,,,,,,2021-07-01 17:14:32,2021-07-01 17:16:53,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,10.0,10.0,10.0,3,4,4,1,1,2,1,4,4,7,7,7,7,7,7,7,无,无,3,,18,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,5,7,7,无
519,14.30.30.64,,,,,,,,,2021-07-01 17:11:57,2021-07-01 17:19:40,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,8.0,8.0,8.0,3,4,2,3,1,1,6,4,3,6,6,7,6,6,7,7,还行,讲的故事很多,4,,7,12,5,6,6,7,6,6,6,7,7,6,6,7,7,6,6,7,7,6,6,6,6,7,6,6,7,很好很好我相信学校
520,117.136.34.95,,,,,,,,,2021-07-01 17:13:31,2021-07-01 17:20:58,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,9.0,9.0,1,1,3,3,1,1,7,3,2,7,7,7,7,7,7,7,内容十分正确 ，符合我国国情,中国万岁 ！中国共产党万岁 ！,4,,8,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,6,6,7,7,4,7,7,积极互动，加强线上线下沟通 
521,111.25.99.223,,,,,,,,,2021-07-01 17:14:40,2021-07-01 17:21:37,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,4,1,7,4,4,7,7,7,7,7,7,7,好,好,4,,15,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,5,7,7,无
522,112.17.247.242,,,,,,,,,2021-07-01 17:21:33,2021-07-01 17:23:25,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,5.0,5.0,5.0,1,1,2,1,2,4,3,3,3,5,5,5,5,5,5,5,无,无,5,,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,无
523,139.214.251.172,,,,,,,,,2021-07-01 17:19:50,2021-07-01 17:23:56,Chrome 77.0.3865.120,Android Linux 8.1.0,1,,,,,,,6.0,6.0,6.0,3,3,2,1,2,4,3,4,4,7,7,7,7,7,7,7,没有,没有,4,,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,没有
524,117.136.6.80,,,,,,,,,2021-07-01 17:23:18,2021-07-01 17:24:53,Unknown Browser,iPhone iOS 14.1,1,,,,,,,10.0,10.0,10.0,1,1,3,1,2,1,1,2,1,7,7,7,7,7,7,7,好,好,3,,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,好
525,223.104.16.33,,,,,,,,,2021-07-01 17:23:50,2021-07-01 17:26:34,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,10.0,10.0,10.0,1,1,3,3,4,1,3,4,4,7,7,7,7,7,7,7,没有,没有,4,,36,20,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,4,7,7,3,6,6,没有
526,223.104.64.37,,,,,,,,,2021-07-01 17:36:50,2021-07-01 17:40:34,Unknown Browser,iPhone iOS 14.4,1,,,,,,,10.0,10.0,9.0,1,3,3,1,2,3,2,4,4,7,7,7,6,7,7,7,我们生在红旗下 长在春风里,中国共产党万岁,4,,2,2,5,5,5,6,5,6,5,6,5,6,6,5,6,5,6,6,5,5,5,5,7,7,5,5,6,加油
527,203.168.13.105,,,,,,,,,2021-07-01 17:36:02,2021-07-01 17:41:27,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,1,2,1,2,4,3,3,3,7,7,7,7,7,7,6,无,无,7,,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,7,7,5,5,5,无
528,117.136.59.166,,,,,,,,,2021-07-01 17:39:10,2021-07-01 17:43:12,Unknown Browser,iPhone iOS 14.2,1,,,,,,,10.0,10.0,10.0,1,1,3,1,4,2,7,4,4,7,7,7,6,7,6,7,中国越来越好,认真学习,4,,16,84,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,4,7,7,好好学习
529,175.21.34.175,,,,,,,,,2021-07-01 17:43:22,2021-07-01 17:45:15,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,2,1,3,3,3,4,4,7,7,7,7,7,7,7,好,好,3,,25,25,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,好
530,111.25.79.209,,,,,,,,,2021-07-01 17:45:17,2021-07-01 17:47:07,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,1,1,1,1,6,4,4,7,7,7,5,6,7,7,无,无,3,,120,120,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,无
531,223.104.65.29,,,,,,,,,2021-07-01 17:45:37,2021-07-01 17:51:33,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,7.0,7.0,3,1,2,1,3,1,6,3,3,6,6,6,6,6,6,6,无无,无,4,,6,10,5,5,5,5,5,5,5,5,5,5,7,6,6,7,7,5,4,4,5,4,7,7,4,5,5,无
532,223.104.1.20,,,,,,,,,2021-07-01 17:47:48,2021-07-01 17:53:43,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,6.0,8.0,1,3,2,1,4,3,6,4,4,7,7,7,6,6,6,6,无,无、,5,,5,5,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,6,7,7,6,6,6,无
533,221.13.63.15,,,,,,,,,2021-07-01 17:53:21,2021-07-01 17:56:51,Unknown Browser,iPhone iOS 14.6,1,,,,,,,8.0,8.0,9.0,1,1,3,1,1,3,3,2,3,4,5,6,7,5,6,4,无,无,3,,10,10,4,3,3,3,3,5,6,3,3,6,6,5,4,5,5,5,5,4,4,5,5,7,5,4,4,无
534,111.25.209.59,,,,,,,,,2021-07-01 17:54:57,2021-07-01 18:00:02,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,9.0,8.0,8.0,1,1,2,1,2,2,6,4,4,7,7,7,6,6,5,4,视频内容很好,能让我们学到很多东西,3,,8,2,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,5,4,7,7,5,6,6,无
535,175.18.157.48,,,,,,,,,2021-07-01 17:58:13,2021-07-01 18:02:25,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,3,6,2,2,6,6,6,7,6,5,4,无,无,4,,10,10,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,3,7,7,无
536,220.196.193.248,,,,,,,,,2021-07-01 17:51:07,2021-07-01 18:03:56,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,6.0,6.0,6.0,1,3,2,1,2,4,3,4,4,7,7,7,7,7,7,6,很有意义,非常有意义,4,,没注意,没注意,6,6,6,6,5,6,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,7,3,5,6,继续努力
537,221.13.63.8,,,,,,,,,2021-07-01 17:42:51,2021-07-01 18:05:24,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,8.0,7.0,3,1,2,1,2,4,3,4,4,6,6,6,6,6,6,6,非常好,很有必要上思想政治课，引导我们跟党走,4,,30,6,5,5,5,4,6,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,7,7,5,6,5,无
538,223.104.96.121,,,,,,,,,2021-07-01 17:48:20,2021-07-01 18:05:48,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,4,2,4,7,4,4,7,7,7,7,7,7,7,帮助我们了解了更多,这门课程的重要性很大,4,,40,40,6,5,5,5,5,5,5,6,6,6,6,6,6,5,5,6,5,5,5,5,7,7,5,6,5,没建议
539,39.144.101.6,,,,,,,,,2021-07-01 18:04:47,2021-07-01 18:06:47,Unknown Browser,iPhone iOS 14.6,1,,,,,,,7.0,7.0,7.0,1,1,1,4,3,4,3,4,4,6,5,5,5,5,5,5,无,无,4,,不知道,不知道,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,无
540,117.136.40.53,,,,,,,,,2021-07-01 18:05:57,2021-07-01 18:09:57,Chrome 78.0.3904.62,Android Linux 7.0,1,,,,,,,5.0,6.0,6.0,1,1,2,1,3,4,3,2,2,7,6,6,7,6,6,4,无,无,7,,10,18,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,无
541,223.104.65.14,,,,,,,,,2021-07-01 18:05:43,2021-07-01 18:09:57,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,5.0,5.0,5.0,1,2,3,1,2,4,6,3,3,4,7,6,6,6,6,5,好,好,4,,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,7,5,5,5,好
542,139.215.46.22,,,,,,,,,2021-07-01 18:09:07,2021-07-01 18:13:46,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,3,3,7,3,4,7,7,7,7,7,7,7,服从党的安排,提高自己思想觉悟,3,,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,线上线下学习双结合
543,111.25.76.140,,,,,,,,,2021-07-01 18:11:47,2021-07-01 18:14:54,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,5.0,5.0,5.0,3,1,2,1,3,3,3,4,3,7,7,7,7,7,7,7,赞同,多多加强思想道德修养,3,,10,10,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,5,5,5,7,7,6,6,5,继续加强
544,111.26.36.98,,,,,,,,,2021-07-01 18:13:49,2021-07-01 18:15:22,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,7.0,6.0,1,1,1,1,2,2,3,4,4,7,7,7,7,7,7,7,没有,没有,5,,1000,1000,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,7,7,7,7,没有
545,223.104.17.252,,,,,,,,,2021-07-01 18:14:42,2021-07-01 18:16:26,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,7.0,6.0,1,3,4,2,2,4,6,2,3,7,7,7,6,7,7,6,好,好,7,,1,1,5,6,6,6,6,5,5,5,6,7,7,6,5,5,5,5,6,6,7,6,5,6,5,7,7,好
546,36.17.232.232,,,,,,,,,2021-07-01 18:17:28,2021-07-01 18:20:52,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,6.0,6.0,6.0,1,3,3,3,2,2,3,2,2,6,7,7,7,6,6,6,坚持党领导,可以增加红色知识,7,,18,18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,6,6,5,4,无
547,58.16.228.118,,,,,,,,,2021-07-01 18:21:06,2021-07-01 18:27:06,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,4,2,3,3,2,7,3,3,6,7,7,7,7,7,7,没要求,没有,4,,12,12,7,4,4,4,4,6,5,5,5,6,5,5,5,6,6,6,6,6,6,6,7,7,3,5,5,没有
548,111.25.114.85,,,,,,,,,2021-07-01 18:25:03,2021-07-01 18:27:28,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,6.0,6.0,6.0,3,1,2,1,1,2,7,3,3,7,7,7,7,7,7,7,无,无,4,,12,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,无
549,223.104.16.179,,,,,,,,,2021-07-01 18:25:29,2021-07-01 18:27:52,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,4,2,7,3,3,7,7,7,7,7,7,7,无,无,4,,40,20,5,5,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,4,6,6,5,5,6,无
550,117.136.59.167,,,,,,,,,2021-07-01 18:26:28,2021-07-01 18:31:07,Unknown Browser,iPhone iOS 14.6,1,,,,,,,10.0,10.0,10.0,1,1,3,4,1,1,6,3,2,6,6,6,7,5,5,4,挺好,挺好,3,,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,7,3,5,6,无
551,221.13.63.109,,,,,,,,,2021-07-01 18:30:53,2021-07-01 18:32:25,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,6.0,7.0,1,3,1,2,2,2,2,1,4,6,5,5,5,5,5,5,没,没,3,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,没
552,117.136.58.21,,,,,,,,,2021-07-01 18:33:55,2021-07-01 18:36:27,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,2,1,3,1,7,4,4,7,7,7,7,7,7,7,无,无,4,,15,30,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,无
553,14.24.50.134,,,,,,,,,2021-07-01 18:15:56,2021-07-01 18:36:28,Chrome 78.0.3904.62,Android Linux 9,1,,,,,,,5.0,5.0,5.0,1,3,2,3,2,1,3,2,4,5,5,6,5,6,6,5,讲述得一般,很不错，能学习到国家的政权,7,,2,2,4,4,4,4,4,5,5,5,5,5,5,4,4,5,6,6,6,5,5,6,6,6,6,5,6,问答不够得到解决
554,117.136.59.191,,,,,,,,,2021-07-01 18:34:23,2021-07-01 18:36:29,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,4,2,1,7,4,4,7,7,7,7,7,7,7,非常好,非常好,3,,18,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,7,7,无
555,175.17.9.168,,,,,,,,,2021-07-01 18:36:26,2021-07-01 18:39:24,Unknown Browser,iPhone iOS 14.6,1,,,,,,,10.0,10.0,10.0,1,1,1,3,4,1,2,4,4,7,7,7,7,7,7,7,无,无,7,,48,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,无
556,122.139.166.139,,,,,,,,,2021-07-01 18:40:56,2021-07-01 18:44:13,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,3,1,1,1,2,4,3,4,4,7,7,7,7,7,7,7,无,无,5,,100,100,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,5,7,7,无
557,39.144.14.144,,,,,,,,,2021-07-01 18:42:51,2021-07-01 18:44:55,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,1,4,4,3,2,2,7,7,7,7,7,6,7,没,没,3,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,3,7,7,没
558,221.13.63.54,,,,,,,,,2021-07-01 18:29:38,2021-07-01 18:46:24,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,10.0,10.0,9.0,1,1,2,1,2,3,3,3,4,7,6,7,6,6,7,7,身为一个中国人，我为我祖国感到无比骄傲，国家之所以强大离不开党中央的领导。,有些时候难以理解政治上的有些东西，感觉老师讲的笼统,4,,6,1,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,6,6,4,挺好
559,171.210.120.89,,,,,,,,,2021-07-01 18:45:51,2021-07-01 18:48:02,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,7.0,6.0,7.0,1,1,2,1,2,3,6,3,3,5,5,5,5,5,5,5,没有,没有,4,,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,没有
560,124.234.95.38,,,,,,,,,2021-07-01 18:44:36,2021-07-01 18:48:23,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,2,2,1,2,3,7,2,4,7,7,7,7,7,7,7,好,无,3,,不稳定,不稳定,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,好
561,222.169.178.163,,,,,,,,,2021-07-01 18:48:54,2021-07-01 18:53:28,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,7.0,7.0,8.0,1,3,1,1,1,1,3,3,3,5,5,6,5,6,6,5,非常好,非常好,4,,21,28,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,6,6,5,5,5,非常好
562,120.226.28.53,,,,,,,,,2021-07-01 18:47:44,2021-07-01 18:53:41,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,5.0,5.0,6.0,3,1,2,4,3,3,3,3,4,6,7,7,6,5,6,5,无,老师缺乏自己的观点,7,,7,6,5,4,4,4,4,5,5,5,6,5,5,6,6,6,5,5,5,5,5,6,6,5,5,5,5,与时进步
563,223.104.16.138,,,,,,,,,2021-07-01 18:59:26,2021-07-01 19:02:40,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,8.0,8.0,8.0,3,1,1,1,4,2,7,4,4,7,7,7,7,7,7,7,无,无,8,教室,0,0,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,4,7,7,5,7,7,无
564,114.135.177.51,,,,,,,,,2021-07-01 19:12:10,2021-07-01 19:16:57,Chrome 77.0.3865.120,Android Linux 8.1.0,1,,,,,,,10.0,9.0,9.0,3,3,2,1,1,4,7,4,4,5,7,7,7,6,7,6,无,无,4,,4,6,5,5,5,5,6,5,5,6,6,5,6,5,5,5,6,6,5,5,5,6,7,5,5,5,5,无
565,117.136.59.187,,,,,,,,,2021-07-01 19:43:59,2021-07-01 19:46:43,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,1,3,1,4,7,2,4,7,7,7,7,7,7,7,无,无,3,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,无
566,223.104.4.248,,,,,,,,,2021-07-01 19:43:57,2021-07-01 19:48:33,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,3,1,2,2,7,4,4,7,7,7,7,7,7,7,非常好,非常值得学习,3,,14,1,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,7,7,无
567,122.139.167.37,,,,,,,,,2021-07-01 19:49:47,2021-07-01 19:54:22,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,8.0,9.0,3,1,1,3,2,4,3,3,3,6,6,6,6,6,6,6,无,无,4,,2,1/2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,7,5,5,5,无
568,113.100.205.122,,,,,,,,,2021-07-01 19:52:13,2021-07-01 20:01:43,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,8.0,7.0,10.0,3,3,2,1,3,4,3,2,4,7,7,7,6,7,6,6,没啥看法,希望更有趣些,7,,20多个小时吧,5,5,4,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,6,6,5,5,5,4,暂时没有
569,27.225.81.5,,,,,,,,,2021-07-01 19:58:06,2021-07-01 20:04:23,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,3,1,2,1,7,4,4,7,7,7,7,7,7,7,很好,很好,4,,20,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,7,7,无
570,106.43.219.94,,,,,,,,,2021-07-01 20:12:39,2021-07-01 20:17:02,Chrome 77.0.3865.120,Android Linux 8.1.0,1,,,,,,,9.0,9.0,10.0,1,3,3,3,2,4,7,3,3,6,7,7,6,6,6,6,无,无,7,,6,6,6,6,6,6,6,5,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,7,5,6,6,无
571,117.61.9.120,,,,,,,,,2021-07-01 21:20:01,2021-07-01 21:23:43,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,2,4,2,4,3,3,4,7,7,7,7,7,7,7,没有,没有,4,,30,6,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,7,7,5,5,5,没有
572,114.138.130.191,,,,,,,,,2021-07-01 22:13:51,2021-07-01 22:15:57,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,3,2,7,4,4,7,7,7,7,7,7,7,无,无,7,,10,10,7,7,7,7,6,7,7,7,7,6,6,6,6,7,6,6,6,6,6,5,6,7,7,7,7,无
573,117.136.6.104,,,,,,,,,2021-07-01 22:19:56,2021-07-01 22:22:46,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,1,1,2,7,4,4,7,7,7,7,7,7,7,很好,很好,3,,1000,1000,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,做的很好
574,36.104.211.238,,,,,,,,,2021-07-01 23:15:45,2021-07-01 23:20:19,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,1,6,3,4,7,7,7,6,7,7,7,国家富强,有益于了解党,3,,2,2,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,4,6,7,3,6,6,多开展活动
575,106.43.204.223,,,,,,,,,2021-07-01 23:29:00,2021-07-01 23:30:34,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,5.0,6.0,5.0,1,3,2,2,2,4,2,2,2,4,5,5,5,4,4,4,无,无,5,,24,12,4,4,4,6,6,6,6,7,6,6,6,5,6,5,5,4,4,6,6,4,5,5,5,5,6,无
576,27.128.17.14,,,,,,,,,2021-07-01 23:40:30,2021-07-01 23:46:44,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,3,2,1,3,3,6,3,3,7,7,7,7,7,7,7,非常好,非常好,3,,不一定,不一定,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,5,7,6,很好，无建议
577,223.104.189.184,,,,,,,,,2021-07-02 08:19:48,2021-07-02 08:25:16,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,6.0,5.0,7.0,2,3,2,1,2,3,2,3,4,6,6,6,6,6,6,6,课堂气氛不好，老师讲的内容单调,多联系实际,8,课堂形式,300,10,4,3,4,3,3,3,6,4,7,3,7,6,6,3,6,6,6,6,6,5,7,6,5,7,6,无
578,42.97.226.193,,,,,,,,,2021-07-02 08:34:06,2021-07-02 08:35:28,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,9.0,9.0,9.0,1,1,1,1,1,1,3,3,3,5,7,7,7,7,7,7,无,无,3,,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,7,7,7,无
579,139.215.46.214,,,,,,,,,2021-07-02 08:34:16,2021-07-02 08:35:29,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,9.0,8.0,8.0,1,1,1,1,2,4,3,2,2,5,6,6,6,7,5,6,棒,棒,5,,3,3,5,5,5,5,5,6,6,6,6,5,4,5,5,5,5,5,6,6,6,5,6,6,6,6,5,无
580,39.144.101.7,,,,,,,,,2021-07-02 08:33:54,2021-07-02 08:36:14,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,3,4,6,1,1,7,7,7,7,7,7,7,觉得非常好,课程多元化，听讲的动力很大,3,,5,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,非常好
