答卷编号,IP地址,性别(有偿),年龄(有偿),城市(有偿),图片(微信),来源,昵称(微信),性别(微信),城市(微信),开始时间,结束时间,浏览器,操作系统,状态,证件号,用户名,姓名,用户类别,单位,邮件,Q1_您认为上述视频内容和思想政治课课堂教学的语言风格是否相近？_请打分,Q2_您认为上述视频内容和新闻联播的语言风格是否相近？_请打分,Q3_您认为上述视频内容和职业教育是否有联系？_请打分,Q4_您认为上述视频的内容语言风格跟下列哪种情境的内容或风格更相似？,Q5_全面从严治党的关键是:,Q6_新发展理念包括创新、协调、绿色、开放和:,Q7_民主法制建设的成就包括推进全面依法治国、党的领导、 有机统一。,Q8_党的十八届三中全会是在哪一年召开的？,Q9_中央外事工作会议明确提出外交大权在：,Q10_你喜欢类似视频中的思想政治课么？,Q11_你对下列哪些主体的工作满意？你不必说具体哪个，请告诉我您满意的主体数量（0-4）即可：钟南山院士高等院校非政府组织中央政府,Q12_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-4）即可：南方周末环球时报钟南山院士国务院新闻发布会,Q13_你相信下列哪些主体发布的信息？你不必说具体哪个，请告诉我您相信的主体数量（0-4）即可：南方周末环球时报钟南山院士纽约时报,Q14_你认为国家下列这些方面的能力强么？_统计民众和社会信息的能力,Q14_你认为国家下列这些方面的能力强么？_维护社会稳定的能力,Q14_你认为国家下列这些方面的能力强么？_维护社会团结，增加民众国家认同的能力,Q14_你认为国家下列这些方面的能力强么？_向社会获取资源（包括税收等）的能力,Q14_你认为国家下列这些方面的能力强么？_领导不同中央各部委和地方政府的能力,Q14_你认为国家下列这些方面的能力强么？_管理社会组织和市场主体的能力,Q14_你认为国家下列这些方面的能力强么？_提供社会福利的能力,Q15_请问你对上述视频有什么看法：,Q16_请问你对你平时上的思想政治课有什么看法：,Q17_你所在学校组织网课的最常见形式是什么？,Q17_你所在学校组织网课的最常见形式是什么？_开放选项,Q18_本学期，你平均每周在线上课（学校规定的课程）的时间为________小时。,Q19_本学期，你平均每周在线学习（不包括学校规定的课程）的时间为________小时。,Q20_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够提高我的学习效率,Q20_本学期以来，你是否同意以下关于在线学习的描述_在线学习能够解决我大部分的学习问题,Q20_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能够让我更好地掌握知识与技能,Q20_本学期以来，你是否同意以下关于在线学习的描述_相比于传统学习，在线学习能让我的学习注意力更加集中,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线学习平台的师生交流功能使用起来很方便,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，通过在线学习平台获取知识与提升技能很轻松,Q20_本学期以来，你是否同意以下关于在线学习的描述_对于我来说，在线完成作业是一件容易的事,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习方面的培训或指导,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会经常为我们提供在线学习资源（如网课资源、电子讲义等）,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校为我们配备的硬件设施（如光纤网络、机房、虚拟仿真设备等）能满足我的在线学习需要,Q20_本学期以来，你是否同意以下关于在线学习的描述_学校会营造良好氛围来促进信息技术融入我们的学习,Q20_本学期以来，你是否同意以下关于在线学习的描述_我愿意向我的亲朋好友推荐在线学习形式,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意继续采纳在线学习的方式进行学习,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我愿意提高使用在线学习平台学习的频率,Q20_本学期以来，你是否同意以下关于在线学习的描述_在以后的日子里，我希望在线学习的形式能扩展到更多课程的学习中,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_在线学习的整体体验感让我满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己的学习效率感到满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所获得的学习效果感到满意,Q21_本学期以来，您是否同意以下关于在线学习满意度的描述_通过在线学习，我对自己所取得的整体收获感到满意,Q22_你上思想政治课的班级规模：,Q23_你对中央政府的工作有多满意？,Q24_你相信国务院新闻发布会发布的信息么？,Q25_你相信纽约时报发布的信息么？,Q26_你对老师在线授课的适应程度如何？,Q27_你对自己在线自主学习的适应程度如何？,Q28_你对学校组织的在线学习，有什么建议？
394,36.48.106.66,,,,,,,,,2021-07-01 14:40:29,2021-07-01 14:43:14,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,10.0,9.0,1,1,2,2,2,3,7,4,4,5,7,7,7,7,7,7,7,学习,我为我的祖国强大感到自豪,3,,6,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,4,7,7,7,7,7,发展
395,223.104.16.11,,,,,,,,,2021-07-01 14:41:01,2021-07-01 14:43:15,Unknown Browser,iPhone iOS 15.0,1,,,,,,,10.0,10.0,10.0,1,4,4,1,2,2,7,5,5,5,7,7,7,7,7,7,7,非常好,非常好,3,,14,50,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,非常好
396,39.144.101.243,,,,,,,,,2021-07-01 14:41:30,2021-07-01 14:43:51,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,1,3,4,1,5,5,5,7,7,7,7,7,7,7,无,无,4,,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,6,7,7,无
397,124.235.79.147,,,,,,,,,2021-07-01 14:42:19,2021-07-01 14:45:49,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,8.0,8.0,1,3,2,1,2,1,3,5,5,5,6,7,7,6,7,6,6,是档宣传的好视频,一般,7,,4,2,6,5,6,5,6,5,5,6,5,6,6,6,5,6,6,5,5,6,6,4,6,6,4,6,6,没有
398,39.144.100.173,,,,,,,,,2021-07-01 14:40:24,2021-07-01 14:46:45,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,3,2,1,2,2,7,5,5,5,7,7,7,7,7,7,7,我爱我的祖国,非常喜欢,4,,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,没有
399,223.104.247.63,,,,,,,,,2021-07-01 14:45:28,2021-07-01 14:47:09,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,1,1,1,3,3,3,3,6,7,7,7,7,7,7,无,无,3,,10,2,6,6,6,5,5,6,6,6,5,6,7,6,7,7,7,7,7,7,7,5,5,7,7,7,7,无
400,223.104.244.212,,,,,,,,,2021-07-01 14:45:52,2021-07-01 14:47:11,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,6.0,7.0,1,2,3,1,3,2,2,3,3,3,5,5,5,5,5,5,5,无,无,5,,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,无
401,111.25.42.164,,,,,,,,,2021-07-01 14:44:50,2021-07-01 14:48:00,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,3,1,3,2,3,3,5,5,5,7,7,7,7,7,7,7,好,很好,4,,1个半,一个半,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,没有
402,223.104.16.1,,,,,,,,,2021-07-01 14:45:36,2021-07-01 14:48:39,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,1,4,2,1,3,2,7,5,5,4,7,4,7,7,7,7,7,无看法，很好,无看法，很好,4,,18,15,7,7,5,5,5,5,7,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,5,6,5,无建议
403,36.104.177.174,,,,,,,,,2021-07-01 14:40:01,2021-07-01 14:48:47,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,2,1,2,4,7,5,5,5,7,7,7,7,7,7,7,很好，很喜欢,很喜欢,4,,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,5,7,7,无
404,122.139.167.46,,,,,,,,,2021-07-01 14:44:39,2021-07-01 14:49:02,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,1,3,3,1,3,2,3,5,5,5,6,6,6,5,5,6,6,无,无,4,,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,6,5,5,无
405,117.136.59.105,,,,,,,,,2021-07-01 14:43:00,2021-07-01 14:50:20,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,8.0,7.0,1,1,4,1,3,3,3,5,5,4,7,7,7,7,7,7,7,无,无,4,,6,6,5,5,4,4,4,4,5,4,5,5,6,4,4,4,4,4,4,4,4,4,7,7,5,4,4,还是面对面授课比较好
406,124.160.214.27,,,,,,,,,2021-07-01 14:48:04,2021-07-01 14:51:30,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,5.0,10.0,10.0,1,3,3,1,3,3,3,5,5,5,7,7,7,7,7,7,7,无,无聊,7,,1,1,4,4,4,4,6,5,6,5,6,4,4,4,4,4,4,4,4,4,4,4,7,7,5,5,5,无
407,117.136.6.52,,,,,,,,,2021-07-01 14:44:33,2021-07-01 14:52:28,Unknown Browser,iPhone iOS 14.4.2,1,,,,,,,10.0,10.0,10.0,1,1,2,4,2,4,7,3,3,3,7,7,7,7,7,7,7,很好,加强了学校党的知识党的教育 ,3,,6,6,7,7,7,7,7,6,7,6,6,6,6,5,6,7,7,7,7,7,7,6,7,7,3,6,6,支持
408,119.48.146.189,,,,,,,,,2021-07-01 14:49:38,2021-07-01 14:53:03,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,1.0,1.0,1.0,2,2,2,3,1,2,1,2,2,2,3,3,3,3,3,3,3,还行吧,可有可无，浪费时间，浪费金钱,4,,24,24,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7,5,5,5,还行吧可有可无
409,36.104.185.64,,,,,,,,,2021-07-01 14:50:37,2021-07-01 14:54:37,Chrome 78.0.3904.62,Android Linux 9,1,,,,,,,10.0,10.0,10.0,1,3,2,1,2,4,7,5,5,5,7,7,7,7,7,7,7,无,无,7,,4,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,无
410,111.25.152.154,,,,,,,,,2021-07-01 14:53:18,2021-07-01 14:55:00,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,1,1,2,3,7,5,5,5,7,7,7,7,7,7,7,挺好,满意,3,,99,99,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,挺好的
411,122.142.34.190,,,,,,,,,2021-07-01 14:48:45,2021-07-01 14:56:11,Unknown Browser,iPhone iOS 14.6,1,,,,,,,10.0,10.0,10.0,1,3,2,1,3,3,6,4,3,3,5,6,7,7,6,6,5,无,无,4,,5,6,4,5,4,3,5,4,7,5,5,6,6,5,5,6,5,6,4,4,3,5,7,7,5,4,5,无
412,36.104.172.199,,,,,,,,,2021-07-01 14:53:57,2021-07-01 14:56:21,Unknown Browser,iPhone iOS 14.5,1,,,,,,,10.0,10.0,10.0,1,1,1,1,1,2,6,4,4,3,7,7,7,7,7,7,7,非常好,很好,3,,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,很好
413,183.134.202.251,,,,,,,,,2021-07-01 14:51:05,2021-07-01 14:57:00,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,6.0,8.0,1,3,3,4,4,4,6,5,5,5,7,7,7,7,7,7,7,不错,不错,3,,24,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,不错
414,116.169.5.241,,,,,,,,,2021-07-01 14:52:59,2021-07-01 14:57:16,Chrome 69.0.3497.100,Android Linux 10,1,,,,,,,6.0,4.0,7.0,1,3,1,1,3,4,3,5,5,5,7,7,7,7,7,7,7,无,学习到了很多自己不回去看去学的东西，让自己开拓了眼界，学习到了新知识想了解到了有关党有关国家的事情,3,,3,2,6,6,6,6,7,6,6,7,7,6,7,6,7,7,6,6,6,6,6,5,7,7,5,7,7,无
415,111.25.46.165,,,,,,,,,2021-07-01 14:52:45,2021-07-01 14:58:00,Unknown Browser,iPhone iOS 13.6,1,,,,,,,10.0,10.0,10.0,3,3,2,1,2,4,7,5,3,2,7,7,7,7,7,7,7,支持,非常好,5,,15,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,3,7,7,非常好
416,39.188.4.38,,,,,,,,,2021-07-01 14:55:21,2021-07-01 14:58:13,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,3,3,2,1,3,5,5,4,7,7,7,5,7,7,7,无,无,3,,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,无
417,122.137.251.215,,,,,,,,,2021-07-01 14:51:42,2021-07-01 14:58:53,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,9.0,9.0,9.0,3,1,2,1,1,1,6,1,5,5,7,7,7,6,5,6,6,对我有很大帮助,多增加这些活动比较好,4,,2,2,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,4,5,5,增加新鲜性
418,36.104.185.9,,,,,,,,,2021-07-01 14:57:09,2021-07-01 15:00:10,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,7.0,6.0,1,3,1,1,3,3,6,3,3,3,7,7,7,7,7,5,5,没有,没有,7,,15,0,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,6,6,6,6,无
419,222.168.205.178,,,,,,,,,2021-07-01 14:59:51,2021-07-01 15:01:24,Unknown Browser,iPhone iOS 14.4.2,1,,,,,,,10.0,10.0,10.0,1,1,1,1,1,2,1,5,5,5,7,6,7,5,5,6,5,无,无,3,,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,5,6,6,6,6,6,4,6,6,6,6,6,无
420,111.25.113.236,,,,,,,,,2021-07-01 14:55:21,2021-07-01 15:01:42,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,4,2,3,7,5,5,4,7,7,7,7,7,7,7,没啥想法,挺好的，没啥意见,4,,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,没啥意见，挺好的
421,139.212.196.6,,,,,,,,,2021-07-01 15:01:27,2021-07-01 15:02:47,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,2,4,3,7,2,2,4,6,5,5,7,4,4,4,。。,。。,6,,12,12,3,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,。。
422,139.214.244.2,,,,,,,,,2021-07-01 15:00:28,2021-07-01 15:04:21,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,3,4,3,1,1,2,6,5,5,4,6,7,7,5,6,6,7,无,无,4,,8,8,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,4,6,6,6,6,6,无
423,223.104.16.169,,,,,,,,,2021-07-01 15:00:45,2021-07-01 15:04:30,Unknown Browser,iPhone iOS 14.4,1,,,,,,,10.0,10.0,10.0,1,1,2,1,1,3,7,5,5,5,7,7,7,7,7,7,7,很好,很好,4,,15,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,4,7,7,7,7,7,很好
424,106.121.181.105,,,,,,,,,2021-07-01 14:59:04,2021-07-01 15:04:56,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,8.0,8.0,3,1,3,3,3,3,7,4,3,3,6,7,7,6,6,7,7,挺好的,思想政治课必不可少,3,,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,7,7,7,无
425,42.101.66.53,,,,,,,,,2021-07-01 15:00:41,2021-07-01 15:05:10,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,6.0,10.0,1,3,3,1,2,3,7,5,5,5,7,6,6,7,7,7,7,对马克思主义更加了解,对自身十分有帮助,4,,25,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,非常好
426,111.25.121.93,,,,,,,,,2021-07-01 15:02:30,2021-07-01 15:05:10,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,1,1,1,1,1,7,5,5,5,7,7,7,7,7,7,7,无,无,4,,20,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,无
427,39.144.100.77,,,,,,,,,2021-07-01 14:59:08,2021-07-01 15:06:28,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,3,1,3,3,1,5,5,4,7,7,7,7,7,7,7,加强对中国的建设为中国的伟大复习做贡献,是我们可以更加深刻的学习政策,3,,3,25,7,7,7,7,7,7,5,6,5,7,6,5,5,5,5,6,6,6,6,6,7,7,5,6,5,希望能够多一些自主的特色
428,175.18.158.59,,,,,,,,,2021-07-01 15:03:02,2021-07-01 15:08:24,Unknown Browser,iPhone iOS 14.0,1,,,,,,,10.0,10.0,10.0,1,3,1,4,1,3,7,5,5,5,7,7,7,7,7,7,7,坚持和加强党的全面领导,坚持和加强党的全面领导,4,,21,19,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,没有
429,110.7.20.196,,,,,,,,,2021-07-01 15:04:02,2021-07-01 15:08:35,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,4,3,2,1,5,5,4,7,7,7,7,7,7,7,很好,很好,3,,30,15,7,5,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,4,3,3,4,6,6,很好
430,117.136.6.50,,,,,,,,,2021-07-01 15:06:43,2021-07-01 15:09:15,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,1,1,1,1,3,5,5,5,7,7,7,7,7,7,7,无,无,7,,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,无
431,223.104.24.108,,,,,,,,,2021-07-01 15:05:58,2021-07-01 15:09:23,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,6.0,6.0,6.0,1,1,2,4,1,3,6,5,5,5,7,7,7,7,7,7,7,很好,太好,4,,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,7,7,7,5,5,可以时间长点
432,139.214.244.220,,,,,,,,,2021-07-01 15:06:11,2021-07-01 15:09:24,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,3,1,4,3,5,5,5,5,5,5,5,5,5,5,热爱祖国,好好学习,7,,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,7,7,7,7,无
433,223.104.191.52,,,,,,,,,2021-07-01 15:07:07,2021-07-01 15:09:50,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,9.0,9.0,1,3,2,1,2,3,2,5,3,2,6,6,7,6,6,6,5,暂无,暂无,4,,30,35,6,6,5,5,5,5,5,5,6,6,6,5,6,5,5,6,5,6,6,5,6,7,7,7,6,暂无
434,39.144.100.30,,,,,,,,,2021-07-01 15:06:13,2021-07-01 15:09:59,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,7.0,7.0,7.0,1,1,2,4,1,3,3,1,1,1,6,7,4,3,7,7,7,，,，,3,,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,，
435,112.17.237.32,,,,,,,,,2021-07-01 15:07:51,2021-07-01 15:10:29,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,3,3,1,2,4,3,5,5,3,7,7,7,7,7,7,7,符合时代精神,符合时代精神,4,,8,6,6,5,5,6,6,6,4,5,4,5,6,7,5,6,7,7,7,6,6,5,7,6,4,6,7,无
436,117.136.59.165,,,,,,,,,2021-07-01 15:09:15,2021-07-01 15:11:00,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,1,3,6,4,3,3,6,4,4,5,4,4,4,好,好,5,,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,5,6,5,5,6,5,5,6,5,7,5,好
437,42.97.245.202,,,,,,,,,2021-07-01 15:07:20,2021-07-01 15:11:53,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,8.0,8.0,8.0,1,1,3,1,2,1,6,5,5,5,7,7,7,7,7,7,7,无,无,4,,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,无
438,183.152.44.48,,,,,,,,,2021-07-01 15:10:50,2021-07-01 15:13:59,Unknown Browser,iPhone iOS 14.4,1,,,,,,,10.0,10.0,10.0,1,1,2,4,3,2,7,5,5,4,7,7,7,7,7,7,6,无,无,4,,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,7,7,无
439,36.104.185.202,,,,,,,,,2021-07-01 15:07:00,2021-07-01 15:14:04,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,4,2,4,7,4,3,3,5,6,6,6,5,6,7,很好,老师们讲的很严谨，很喜欢,4,,15,6,5,5,5,5,6,6,6,6,5,7,5,5,5,5,5,5,5,5,5,4,7,7,4,7,5,还是面授会好一点
440,117.61.246.3,,,,,,,,,2021-07-01 15:10:20,2021-07-01 15:14:14,Chrome 77.0.3865.120,Android Linux 9,1,,,,,,,10.0,10.0,10.0,2,1,3,1,2,2,6,1,2,4,7,7,7,7,7,7,7,好,刀刀见血,4,,18,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,好
441,36.104.31.12,,,,,,,,,2021-07-01 15:12:14,2021-07-01 15:16:51,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,7.0,7.0,7.0,1,1,1,1,2,1,6,4,4,4,6,7,7,6,6,6,6,没有,理解的非常好,4,,72,12,6,6,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,6,6,6,6,没有
442,1.204.121.239,,,,,,,,,2021-07-01 15:15:39,2021-07-01 15:17:12,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,2,3,1,2,2,7,5,5,5,7,7,7,7,7,7,7,无,无,3,,96,95,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,无
443,222.163.30.94,,,,,,,,,2021-07-01 15:07:09,2021-07-01 15:17:47,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,8.0,7.0,9.0,1,4,4,4,4,3,2,4,3,2,5,7,7,5,5,5,5,支持国家，希望和平,讲思想理论那种比较无聊，就知道支持国家维护祖国统一,3,,0,0,5,5,5,5,5,5,5,5,5,6,5,4,4,4,4,4,4,4,4,4,7,7,5,4,4,上网课一般
444,42.97.243.165,,,,,,,,,2021-07-01 15:13:49,2021-07-01 15:19:22,Chrome 78.0.3904.62,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,2,3,3,5,5,5,7,7,7,7,7,7,7,无,更好的学习党的思想,3,,15,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,无
445,58.220.220.76,,,,,,,,,2021-07-01 15:16:20,2021-07-01 15:20:54,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,1,1,2,1,3,2,7,5,5,5,7,7,7,7,7,7,7,中国共产党必胜,我爱中国共产党,3,,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,7,7,做得很好，加油
446,139.215.45.132,,,,,,,,,2021-07-01 15:19:03,2021-07-01 15:21:06,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,7.0,8.0,8.0,1,2,2,3,2,2,1,4,4,4,6,6,6,6,6,6,6,挺好,很认真,5,,2,2,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,4,6,6,6,5,5,挺好
447,211.138.116.168,,,,,,,,,2021-07-01 15:18:51,2021-07-01 15:22:31,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,10.0,10.0,10.0,1,4,3,1,3,4,3,4,4,3,7,7,7,7,7,7,7,无,无,4,,0,0,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,4,7,7,5,6,6,无
448,122.139.98.38,,,,,,,,,2021-07-01 15:20:53,2021-07-01 15:23:25,Chrome 78.0.3904.62,Android Linux 11,1,,,,,,,5.0,5.0,5.0,1,2,1,4,2,3,3,3,2,3,6,6,4,6,5,7,6,无,无,4,,12,12,5,6,7,6,6,6,6,6,7,7,6,5,7,6,7,5,5,5,7,6,6,5,5,7,7,无
449,175.23.46.14,,,,,,,,,2021-07-01 15:19:49,2021-07-01 15:24:16,Chrome 81.0.4044.138,Windows Wechat(0x63030068,1,,,,,,,10.0,10.0,10.0,1,3,2,1,2,4,7,5,5,5,7,7,7,7,7,7,7,好,好,4,,14,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,都很好
450,117.136.6.1,,,,,,,,,2021-07-01 15:21:59,2021-07-01 15:24:32,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,5.0,5.0,6.0,2,1,4,1,2,4,6,5,5,5,7,7,7,7,7,7,7,无,无,5,,20,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,无
451,175.22.222.41,,,,,,,,,2021-07-01 15:20:33,2021-07-01 15:24:32,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,2,1,3,1,1,4,3,2,5,2,6,6,7,5,7,7,7,没看法,没看法,3,,0,0,5,5,4,4,4,4,7,6,6,6,6,6,6,6,6,6,6,6,6,4,6,7,6,6,6,没有建议
452,122.97.175.63,,,,,,,,,2021-07-01 15:21:04,2021-07-01 15:25:13,Chrome 77.0.3865.120,Android Linux 11,1,,,,,,,8.0,8.0,8.0,3,4,1,1,4,1,3,4,4,4,6,6,5,6,5,6,6,无,无,3,,2,2,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5,无
453,36.23.68.213,,,,,,,,,2021-07-01 15:24:24,2021-07-01 15:26:09,Chrome 77.0.3865.120,Android Linux 10,1,,,,,,,10.0,10.0,10.0,2,1,1,1,1,1,1,1,3,4,5,5,5,4,6,5,5,无看法,无看法,5,,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,4,4,无
454,111.25.184.43,,,,,,,,,2021-07-01 15:21:02,2021-07-01 15:26:24,Chrome 39.0.2171.95,Windows Wechat QBCore/3.43.884.400 QQBrowser/9.0.2524.400,1,,,,,,,9.0,9.0,9.0,1,3,2,1,2,4,7,5,5,4,7,7,7,7,7,7,7,国泰民安 中国富强,非常有趣,3,,0,0,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,6,6,6,4,7,7,3,6,6,无建议
